2023-11-19,supermercado,Lojas Americanas,51.54
2023-11-19,phone_topup_brazil,Recarga de celular,30.00
2023-11-14,outros,Shopee*761677568442431 3/3,14.12
2023-11-14,charge,CELPE 3/3,92.98
2023-11-14,eletrônicos,Dm*Sheincom 3/6,13.73
2023-11-14,eletrônicos,Amazon Marketplace 2/4,128.15
2024-01-12,supermercado,Frigorifico Dois Irmao,28.76
2024-01-12,supermercado,Supermercado Nova Era,20.07
2024-01-05,restaurante,Padaria Santa Rita,12.24
2024-01-05,restaurante,Padaria Santa Rita,5.44
2024-01-04,restaurante,Padaria Santa Rita,19.16
2023-12-31,supermercado,Lojas Americanas,37.96
2023-12-31,supermercado,Padaria Santa Helena,16.75
2023-12-31,supermercado,Padaria Santa Helena,6.75
2023-12-31,saúde,Farmacia Abreu e Lima,4.00
2023-12-31,restaurante,Padaria Santa Rita,29.63
2023-12-22,charge,COMPANHIA ENERGETICA DE PERNAMBUCO,308.36
2023-12-19,serviços,Claro *81993465922,59.90
2023-12-18,restaurante,Lucidario Silvestre,20.32
2023-12-17,supermercado,Padaria Santa Helena,6.75
2023-12-16,payment,Pagamento recebido,-534.93
2023-12-14,eletrônicos,Dm*Sheincom 4/6,13.73
2023-12-14,eletrônicos,Amazon Marketplace 3/4,128.15
2024-02-04,restaurante,Padaria Santa Rita,10.00
2024-02-04,payment,Pagamento recebido,-585.33
2024-02-01,reversal_brazil_settled,Crédito de "Shpp Brasil Servicos D",-28.05
2024-01-30,supermercado,Carrefour Tal Abreu e,6.69
2024-01-30,supermercado,O Verdao,6.00
2024-01-28,supermercado,Padaria Santa Helena,3.94
2024-01-28,supermercado,Padaria Santa Helena,5.99
2024-01-27,restaurante,Padaria Santa Rita,15.63
2024-01-26,restaurante,Padaria Santa Rita,40.00
2024-01-24,supermercado,O Verdao,6.00
2024-01-22,payment,Pagamento recebido,-47.97
2024-01-21,supermercado,Pag*Aldairinocencio,5.00
2024-01-21,restaurante,Padaria Santa Rita,15.60
2024-01-19,restaurante,Padaria Santa Rita,22.60
2024-01-19,supermercado,Carrefour Tal Abreu e,16.67
2024-01-19,restaurante,Padaria Santa Rita,4.00
2024-01-19,supermercado,O Verdao,22.20
2024-01-19,serviços,Claro *81993465922,59.90
2024-01-18,educação,Sho*Pluralidadespap,16.94
2024-01-17,outros,Maeefilhodes,20.00
2024-01-16,transporte,99app *99app,14.10
2024-01-16,supermercado,Lojas Americanas,30.95
2024-01-16,restaurante,Liras Pizzaria,38.00
2024-01-16,restaurante,Pws Paulista North Way,10.50
2024-01-15,casa,Shpp Brasil Servicos D,69.35
2024-01-15,educação,Shpp Brasil Servicos D,31.44
2024-01-14,eletrônicos,Dm*Sheincom 5/6,13.73
2024-01-14,payment,Pagamento recebido,-670.00
2024-01-14,eletrônicos,Amazon Marketplace 4/4,128.15
2024-02-21,restaurante,Padaria Santa Rita,1.00
2024-02-21,restaurante,Padaria Santa Rita,1.50
2024-02-20,restaurante,Padaria Santa Rita,1.00
2024-02-19,serviços,Claro *81993465922,59.90
2024-02-16,restaurante,Padaria Santa Rita,6.00
2024-02-15,restaurante,Padaria Santa Rita,1.80
2024-02-15,outros,Amcabelos,182.05
2024-02-14,casa,Shpp Brasil Servicos D 2/2,69.34
2024-02-14,educação,Shpp Brasil Servicos D 2/2,31.44
2024-02-14,eletrônicos,Dm*Sheincom 6/6,13.73
2024-02-14,educação,Sho*Pluralidadespap 2/2,16.93
